# مرجع الديموغرافيا L1 — سكان (World Bank) + نسبة مسلمين (Pew Research). يُبنى عبر tools/fetch_demographics.py — لا يُعدَّل يدوياً.
# Muslim %% source: https://github.com/datasets/world-religion-projections — original: https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2050/
iso3,name_en,population,population_year,population_source,muslim_pct,muslim_pct_year,muslim_pct_source,note
ABW,Aruba,107995,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
AFG,Afghanistan,42647492,2024,World Bank (data/worldbank_seed.csv),99.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
AGO,Angola,37885849,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
AIA,Anguilla,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
ALA,Åland Islands,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
ALB,Albania,2377128,2024,World Bank (data/worldbank_seed.csv),82.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
AND,Andorra,81938,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
ARE,United Arab Emirates,10986400,2024,World Bank (data/worldbank_seed.csv),77,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
ARG,Argentina,45696159,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
ARM,Armenia,3033500,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
