iso3,name_en,main_port,port_type,logistics_note,source,source_url
ABW,Aruba,SINT NICOLAAS BAAI,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AFG,Afghanistan,ميناء كراتشي (باكستان) أو تشابهار (إيران),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
AGO,Angola,CABINDA,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AIA,Anguilla,Anguilla,sea,تصنيف الحجم: غير مصنَّف,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ALB,Albania,DURRES,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AND,Andorra,موانئ إسبانيا/فرنسا,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
ARE,United Arab Emirates,MINA JABAL ALI,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ARG,Argentina,BUENOS AIRES,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ARM,Armenia,موانئ بوتي/باتومي (جورجيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
ASM,American Samoa,PAGO PAGO HARBOR,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ATA,Antarctica,MCMURDO STATION,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
ATG,Antigua and Barbuda,ST JOHNS,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AUS,Australia,SYDNEY,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
AUT,Austria,ميناء تريستا (إيطاليا) أو روتردام (هولندا) عبر الراين,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
AZE,Azerbaijan,موانئ بوتي/باتومي (جورجيا) أو بحر قزوين,landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BDI,Burundi,ميناء دار السلام (تنزانيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BEL,Belgium,ANTWERPEN,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BEN,Benin,COTONOU,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BES,Caribbean Netherlands,ORANJESTAD,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BFA,Burkina Faso,ميناء أبيدجان (كوت ديفوار) أو لومي (توغو) أو تيما (غانا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BGD,Bangladesh,CHITTAGONG,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BGR,Bulgaria,VARNA,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BHR,Bahrain,Khalifa Bin Salman Port (Hidd),sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
BHS,Bahamas,NASSAU,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BIH,Bosnia and Herzegovina,NEUM,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BLR,Belarus,موانئ بحر البلطيق (كلايبيدا، ليتوانيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BLZ,Belize,BELIZE CITY,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BMU,Bermuda,IRELAND ISLAND,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BOL,Bolivia,ميناء أريكا/أنتوفاغاستا (تشيلي) أو إيلو (بيرو),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BRA,Brazil,SANTOS,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BRB,Barbados,BRIDGETOWN,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BRN,Brunei,MUARA HARBOR,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
BTN,Bhutan,ميناء كولكاتا/هالديا (الهند),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
BWA,Botswana,ميناء ديربان (جنوب أفريقيا) أو والفيس باي (ناميبيا),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
CAF,Central African Republic,ميناء دوالا (الكاميرون),landlocked_corridor,ممرّ عبور معتاد (معلومة جغرافية-لوجستية عامة — تحقق من شروط العبور الحالية قبل الشحن),معلومة جغرافية عامة — general logistics knowledge,
CAN,Canada,Vancouver,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
CHE,Switzerland,Geneva,sea,تصنيف الحجم: غير مصنَّف,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CHL,Chile,ANTOFAGASTA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CHN,China,Shanghai,sea,أكبر ميناء تجاري/بالحاويات فعلياً — تصحيح جودة بمعرفة عامة موثّقة عن الأهمية التجارية النسبية، إذ اختار التصنيف الآلي (حجم NGA + تعادل بعدّ حقول العمق) مرفأً متخصصاً/ثانوياً لهذا السوق,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports + معرفة عامة",https://github.com/tayljordan/ports
CIV,Ivory Coast,ABIDJAN,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CMR,Cameroon,DOUALA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COD,DR Congo,MATADI,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COG,Congo,POINTE NOIRE,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COK,Cook Islands,AVATIU,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COL,Colombia,CARTAGENA,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
COM,Comoros,DZAOUDZI,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CRI,Costa Rica,GOLFITO,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CUB,Cuba,ANTILLA,sea,تصنيف الحجم: Major,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CUW,Curaçao,WILLEMSTAD,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CXR,Christmas Island,FLYING FISH COVE,sea,تصنيف الحجم: Minor,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CYM,Cayman Islands,CAYMAN BRAC,sea,تصنيف الحجم: Very Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
CYP,Cyprus,LARNACA,sea,تصنيف الحجم: Small,"World Port Index — NGA Publication 150, 2019 ed. (public domain), via github.com/tayljordan/ports",https://github.com/tayljordan/ports
